Name,Overall,Value
 J. Arvidsson,66,€350K
 J. Brown,65,€425K
 A. Þrándarson,65,€750K
 A. Zeneli,73,€5.5M
 U. Çiftçi,68,€925K
 P. Kristensen,64,€325K
 B. Kessel,68,€675K
 S. Kulovits,69,€325K
 Fábio Melitinho,74,€3.4M
 K. Bru,67,€750K
 Ansel Barnisco,70,€1.4M
 M. Marković,68,€950K
 M. Poundjé,73,€4.2M
 A. Bodzek,69,€700K
 M. Saymak,73,€5M
 B. Meling,69,€1.2M
 A. Powell,70,€2M
 J. Amano,68,€1M
 S. Schiek,65,€450K
 S. Allagui,71,€2.1M
 A. Nouri,67,€625K
 A. Kozlov,70,€1.3M
 C. Wondolowski,70,€925K
 T. Darikwa,69,€1.1M
 Ibson,69,€425K
 S. Kingsley,70,€2.1M
 D. Alar,71,€2.5M
 D. Bisoli,69,€1.5M
 M. Besler,74,€4.2M
 D. Lemos,71,€1.9M
 Yannick Djaló,69,€925K
 J. Galván,72,€3.6M
 V. Klonaridis,68,€1.1M
 F. Ballo Touré,69,€1.6M
 S. Montoya,72,€3.7M
 D. Moro,66,€275K
 P. Sagna,70,€1.5M
 Alberto Benito,71,€2.6M
 V. Angban,71,€3.2M
 F. Concas,67,€725K
 N. Kilkenny,67,€525K
 P. Funk,65,€500K
 Z. Majer,68,€1.2M
 C. Gutiérrez,65,€450K
 C. Agnelli,64,€375K
 M. Ljujić,66,€850K
 Felipe,82,€18M
 Nilson Padilho,70,€1.7M
 K. Narey,69,€1.1M
 A. Dyer,65,€550K
 E. Knudtzon,68,€925K
 P. Kanstrup,72,€2.5M
 K. Mbabu,72,€4.1M
 S. Lundevall,71,€2.4M
 Sunny,69,€850K
 F. Grondoña,69,€1M
 L. Rodríguez,73,€6M
 E. Garré,66,€140K
 Marc Mateu,72,€3.3M
 Lobato,68,€900K
 R. McCabe,63,€450K
 Artur,71,€2.8M
 M. Potzmann,66,€850K
 S. Yıldırım,71,€2.5M
 Patric,72,€3.6M
 Marlon Nideiro,74,€3.4M
 A. Rose,65,€550K
 J. Parr,68,€700K
 W. Bakhashwain,70,€1.7M
 Q. Antipas,68,€575K
 N. McGinn,72,€3M
 Pedro Sá,72,€3.7M
 Y. Namli,73,€5.5M
 O. Kharbin,76,€11M
 A. Barberis,69,€1.4M
 T. Bunbury,70,€1.9M
 Lee Jong Sung,68,€975K
 Borja Fernández,70,€240K
 W. Owusu,70,€1.9M
 S. Yago,72,€3.5M
 X. Chavalerin,69,€1.2M
 A. Miranchuk,77,€12.5M
 G. Carpani,65,€700K
 A. Mintzel,66,€140K
 S. Araujo,74,€7M
 J. Wallace,70,€2.4M
 D. Digard,69,€775K
 S. Çinaz,70,€1.2M
 M. Ørnskov,64,€375K
 R. Andrich,67,€1.2M
 T. Bifouma,74,€7M
 A. Reyna,69,€825K
 D. Perkins,66,€275K
 J. Kodjia,75,€7M
 I. Fetfatzidis,77,€9.5M
 L. Melano,70,€2.4M
 B. Jopek,65,€700K
 G. Kerk,71,€3.2M
 J. Villarreal,66,€900K
 J. Taylor,64,€550K
 M. Burch,65,€210K
 R. Yaremchuk,72,€4.3M
 C. De Norre,67,€900K
 A. Barreca,75,€7.5M
 H. Storbæk,63,€325K
 Dudú,68,€950K
 M. Azira,70,€1.4M
 B. Montelongo,64,€450K
 H. Olvera,70,€1.5M
 Pau Morer,63,€575K
 Ha Dae Sung,64,€350K
 M. Ovenstad,63,€500K
 Omar Perdomo,70,€2.4M
 L. O'Nien,63,€550K
 C. Schneuwly,69,€1M
 J. Moreno,67,€925K
 B. Saller,67,€825K
 C. Despredal,74,€3.4M
 E. Löwen,68,€1.3M
 F. Fattori,67,€950K
 Park Chu Young,67,€675K
 S. MacDonald,67,€600K
 H. Taniguchi,66,€375K
 Bismark,69,€1.4M
 Jacson Zonta,74,€3.4M
 B. McKay,72,€4.4M
 I. Brown,70,€2.9M
 M. Schneuwly,69,€850K
 R. Skov,71,€3.6M
 Jairinhazo,72,€3M
 S. Heltne Nilsen,68,€975K
 A. Aseri,72,€4.3M
 T. Carroll,73,€4.9M
 M. Al Nakhli,64,€575K
 K. Pusch,67,€975K
 N. Omladič,70,€1.9M
 Tony Muttinho,71,€900K
 M. Kuhn,66,€625K
 S. Gündüz,66,€800K
 M. Benatia,85,€28.5M
 Y. Tasaka,63,€240K
 J. Schauerte,70,€1.3M
 C. Eiting,68,€1.2M
 C. Techera,69,€1.2M
 A. Stoian,70,€1.9M
 L. Del Prete,69,€700K
 Adrián Marín,72,€4.1M
 M. Maccarone,74,€1.6M
 A. Al Faraj,69,€850K
 N. Law,67,€750K
 R. Teibert,67,€850K
 M. Barrow,73,€5M
 S. Koroki,72,€3M
 M. Faško,65,€825K
 K. Miller,70,€525K
 Y. Takahagi,69,€975K
 M. Duruer,67,€750K
 F. Caputo,75,€6.5M
 M. Tirpan,66,€700K
 M. Kruska,63,€350K
 E. Gigliotti,75,€6.5M
 D. Hofbauer,64,€525K
 A. Mejía,76,€6M
 M. Garrido,67,€650K
 J. Brison,66,€180K
 R. Canouse,70,€2.1M
 A. Coly,65,€575K
 M. N'Diaye,65,€450K
 M. Zajc,72,€4.4M
 K. Stewart,69,€1.2M
 G. Gudiño,67,€975K
 N. Eardley,67,€600K
 M. Akın,64,€425K
 M. Fellah,66,€650K
 S. Carrasco,65,€450K
 K. Rodrigues Pires,67,€925K
 K. Keleş,68,€675K
 R. Ábila,76,€8M
 I. Lewczuk,73,€2.3M
 P. Klement,67,€975K
 S. Suciu,66,€650K
 Y. Kashiwagi,70,€1.7M
 Hwang Ui Jo,70,€2.4M
 O. Bulut,67,€975K
 T. Naylor,66,€650K
 Hernâni,76,€9M
 M. Lund Nielsen,64,€425K
 E. Jelenič,68,€1.1M
 T. Torun,73,€4.2M
 T. Moutinho,70,€1.9M
 E. Remedi,70,€2.4M
 A. Mühling,68,€1.1M
 B. Sweat,67,€750K
 Gerso,73,€4.3M
 O. Akichi,67,€725K
 J. Tallo,72,€4.1M
 J. Drost,68,€1.1M
 Javi Moyano,69,€700K
 M. Pietrowski,65,€400K
 C. Lines,68,€775K
 I. Ouali,69,€1M
 M. Livaja,76,€10M
 T. Chow,65,€700K
 S. Sinclair,61,€240K
 D. Burbano,68,€875K
 G. Sunu,71,€2.5M
 L. Rodríguez,70,€1.4M
 Y. Endo,68,€875K
 D. Loft,63,€350K
 Carlos Ruiz,70,€725K
 M. Wassey,66,€625K
 D. Toia,66,€650K
 D. Pizarro,73,€1M
 W. Routledge,73,€3.1M
 D. Georgievski,65,€400K
 V. Krotov,67,€1M
 J. Stanislas,75,€7M
 A. Khubulov,72,€3.3M
 S. Nakamura,72,€850K
 J. Marveaux,70,€550K
 M. Pušić,67,€750K
 A. Ibsen Rømer,68,€950K
 O. Rojas,67,€160K
 L. Nizzetto,67,€650K
 E. Finlay,71,€2.5M
 C. Del Grosso,67,€220K
 P. Araujo,68,€700K
 A. Mazzotta,68,€750K
 F. Starzyński,69,€1.2M
 V. Hoff,66,€925K
 D. Bakker,67,€850K
 H. Mita,63,€425K
 A. Gogia,71,€2.8M
 A. Hadžiahmetović,65,€1M
 K. Tokstad,65,€600K
 F. Carlsen,63,€375K
 Y. Seleznyov,74,€5M
 F. Oreja,70,€375K
 F. Bérenguer,70,€1.8M
 M. Alexe,69,€1.1M
 S. Sharahili,68,€750K
 J. Lowe,69,€1.1M
 H. Martín,71,€3.2M
 A. Nouri,75,€7.5M
 A. Karaer,68,€675K
 A. Muyl,65,€800K
 A. Ionov,73,€4M
 S. Żurkowski,68,€1.5M
 Evandro Rochedo,73,€2.5M
 Cucurella,69,€1.6M
 R. Falk Jensen,74,€6M
 C. Aquino,69,€1.3M
 D. Zhivoglyadov,70,€2M
 D. Bakar,69,€1.1M
 F. Colela,64,€675K
 C. Kabasele,75,€7M
 David Ferreiro,70,€1.7M
 Varela,67,€900K
 H. Nielsen,70,€2.3M
 A. Donnarumma,74,€6.5M
 Lee Yeong Jae,69,€1.5M
 André Leão,71,€1.4M
 R. Gigolaev,65,€575K
 S. Magnasco,70,€1.7M
 A. Shvets,69,€1.3M
 Ruiz de Galarreta,69,€1.2M
 J. Reeves,66,€900K
 A. Barkok,69,€2.3M
 O. Alanís,72,€2.5M
 S. Dallas,70,€1.9M
 Y. Toutouh,69,€1.3M
 Q. Bernard,70,€1.5M
 D. Tošić,75,€3.8M
 I. Rossi,69,€1.3M
 E. Marcondes,68,€1.4M
 Vieiraldo Junior,71,€2.1M
 R. Echeverría,69,€1.4M
 R. Pucino,70,€1.7M
 M. Duffy,70,€1.6M
 Vallès,63,€375K
 A. Tashaev,74,€7.5M
 A. Annan,65,€400K
 C. Camps,64,€725K
 J. Zavala,68,€700K
 Marlion Rolim,71,€2.6M
 Iván Alejo,73,€5.5M
 A. Rosina,73,€2.4M
 A. Yiadom,70,€1.8M
 V. Jovanović,66,€375K
 J. Murphy,72,€4.6M
 D. Tiendalli,67,€500K
 D. Diagné,67,€900K
 K. Lejeune,63,€275K
 D. Phillips,66,€250K
 S. Bertram,67,€900K
 J. Ramaré,71,€950K
 W. Hoolahan,74,€2.5M
 M. Johansson,70,€1.8M
 B. Bodin,69,€1.2M
 A. Lienhart,67,€500K
 P. Aguilar,76,€5.5M
 M. Pedersen,67,€325K
 J. Tinhan,69,€1.1M
 D. Donohue,64,€500K
 Hugo Vieira,70,€1.8M
 M. Parensen,67,€500K
 A. Martinelli,68,€1.1M
 M. Bašić,68,€700K
 B. Rabello,69,€1.4M
 Ko Seul Ki,64,€300K
 S. Souprayen,70,€1.4M
 P. Rosario,68,€1.4M
 H. Özmert,68,€525K
 U. Uçar,69,€750K
 Daguinho Parrela,70,€675K
 Eltildo Correia,76,€7M
 Camacho,68,€300K
 F. Noor,66,€875K
 F. Marquet,63,€475K
 Brenito Duarte,73,€1.6M
 A. Tapia,65,€500K
 N. Rebolledo,64,€300K
 P. Joosten,66,€925K
 H. Jele,66,€475K
 S. Hernández,71,€2.2M
 Carlos Martínez,74,€3.7M
 A. Sheehan,64,€325K
 O. Niasse,75,€7M
 Y. Mina,80,€18M
 N. Gerzić,67,€450K
 A. Saint-Maximin,77,€12.5M
 M. Heider,65,€475K
 Eduardo,68,€1.2M
 Anuar,70,€2.1M
 D. Koppers,67,€725K
 L. Evans,68,€1.2M
 Paulo Henrique,71,€2.4M
 J. Piotrowski,65,€725K
 N. Maupay,70,€2.7M
 P. Dimitriadis,65,€375K
 D. González,68,€1.2M
 C. Donis,65,€825K
 J. Ryerson,64,€550K
 Park Yong Woo,68,€1.2M
 A. Al Salem,66,€850K
 G. Wijnaldum,66,€725K
 David Rodríguez,73,€3.6M
 N. Stefanelli,68,€1.3M
 M. Arini,68,€825K
 Lucas Venuto,70,€2.4M
 J. Fontaine,69,€850K
 T. Breukers,68,€675K
 T. Murg,67,€1.1M
 N. Burns,66,€625K
 A. Grant,66,€600K
 S. Aluko,69,€1.1M
 D. Dwyer,72,€3.4M
 N. Elvedi,76,€9M
 Salvi Sánchez,74,€6M
 R. Feltscher,67,€725K
 R. Gíslason,68,€900K
 G. Rodríguez,73,€4.4M
 F. Valot,67,€975K
 C. Mbemba,75,€7.5M
 A. Bencharki,69,€1.5M
 Leo Vimieiro,67,€600K
 M. Vendelbo,63,€350K
 Guedes,72,€3M
 Álvaro,71,€3.3M
 G. Dobson,65,€825K
 M. Formica,70,€1.7M
 S. Moore,69,€1.5M
 Javi Álamo,69,€825K
 N. Barazite,73,€4.2M
 Moreto Cassamá,64,€950K
 G. Murray,74,€3.5M
 A. Geipl,67,€775K
 Ronaldo,65,€550K
 G. Celis,74,€6.5M
 Bobô,75,€5.5M
 Choi Hyo Jin,62,€120K
 R. Draper,66,€650K
 A. Tetteh,71,€1.9M
 C. Acuña,67,€750K
 D. Sjölund,68,€425K
 Canales,78,€12M
 T. Ben Haim,74,€6M
 L. Obraniak,68,€700K
 J. Calesti,66,€625K
 Varela,75,€5M
 T. Makino,71,€1.8M
 R. Takeuchi,64,€475K
 R. Edwards,64,€675K
 P. McNair,70,€2.3M
 M. Sylla,71,€3.1M
 M. Doumbia,68,€1.3M
 Z. Youssouf,65,€1.1M
 S. Diarra,66,€875K
 L. Hernández,79,€17.5M
 K. Diatta,68,€1.6M
 A. Karabulut,70,€1.7M
 Raphael Doninho,66,€625K
 K. Ajer,69,€1.4M
 P. Lugüercio,69,€450K
 L. Wílchez,71,€1.4M
 K. Poku,68,€1.1M
 K. Berkhamov,63,€375K
 U. Dávila,69,€1.2M
 Saberto Botelho,70,€1.4M
 G. Bigirimana,64,€625K
 Vigaray,72,€3.6M
 Y. Reyna,70,€2.5M
 D. Halfar,70,€1.7M
 F. N'Ganga,69,€575K
 J. Wójcicki,67,€775K
 K. Shimizu,67,€775K
 Sami,69,€1.1M
 F. Bahlouli,69,€1.5M
 R. Métanire,73,€3.3M
 F. Kiss,69,€1M
 S. Leyton,64,€600K
 M. Gelabert,67,€325K
 K. Fatai,73,€4.3M
 S. Salinas,66,€575K
 L. Fariña,68,€1.1M
 N. Dicko,69,€1.3M
 Edu Machado,71,€2M
 V. Lundberg,67,€900K
 R. Mukhametshin,65,€220K
 R. Martínez,73,€5.5M
 G. Torres,68,€1.5M
 Ricky Guerreda,70,€1.5M
 R. Aguilar,74,€6.5M
 M. Gómez,78,€14.5M
 C. Ciano,72,€3.3M
 Flavio Paixão,71,€1.8M
 S. Wannenwetsch,67,€775K
 Narcisso Mau,66,€475K
 A. Rentería,71,€3.1M
 Rodrigo,68,€975K
 M. Scavone,65,€500K
 M. Gashchenkov,62,€375K
 L. Vigen Christensen,68,€1.2M
 R. Matisano,66,€475K
 K. Wilczek,70,€1.8M
 M. Nastasić,81,€19M
 T. Erat,64,€525K
 S. Kind Mikalsen,63,€475K
 J. Thomassen,67,€575K
 A. El Khayati,71,€2.4M
 Diego Llorente,78,€12M
 E. Alexander,66,€500K
 Allan Bardinho,75,€7M
 A. Rami,81,€12M
 K. Nagai,67,€800K
 C. Baird,67,€160K
 T. Ince,73,€5M
 H. Belkebla,69,€1.5M
 N. Maturana,70,€2.4M
 C. Schwegler,69,€400K
 Jallyson Neto,66,€550K
 R. Vloet,66,€900K
 N. Redmond,76,€10M
 F. Campbell,69,€1.1M
 Pedro Sánchez,70,€1.7M
 A. Paolucci,66,€600K
 K. Lala,71,€2.4M
 G. Svensson,75,€4.9M
 D. Massey,63,€275K
 M. Valoti,70,€2.3M
 D. Kądzior,68,€1.1M
 D. Cerén,69,€875K
 Allano,71,€3.5M
 T. Blackett,67,€800K
 D. Kumbela,69,€650K
 M. Jevtović,68,€1.2M
 D. Musto,73,€3M
 Q. Laçi,63,€550K
 M. Colin,71,€2.4M
 S. Rieks,71,€2.2M
 B. Ndoye,70,€2.4M
 C. Groß,67,€625K
 B. Cascini,65,€950K
 M. Grella,66,€600K
 D. Bohl,63,€425K
 R. Emelyanov,68,€1M
 D. Yılmaz,70,€1.8M
 A. Maitland-Niles,68,€1.9M
 M. Vucinovic,63,€300K
 D. Grote,63,€350K
 E. Izaguirre,68,€575K
 M. Rose,60,€275K
 Andrea Orlandi,69,€825K
 R. Williams,72,€2.5M
 S. Sutter,67,€500K
 A. Camargo,69,€1M
 P. Dixon,64,€325K
 J. Lazare Amani,68,€1.4M
 G. Herrera,67,€475K
 G. Heinry,68,€950K
 J. Cuero,72,€3M
 W. Vaulks,66,€825K
 C. Leitgeb,69,€800K
 T. Grøgaard,68,€1.1M
 Toribio,69,€850K
 D. Asprilla,70,€1.8M
 J. Riocel,68,€550K
 M. Schröter,66,€750K
 J. Böðvarsson,70,€2.2M
 Y. Herrera,68,€1.2M
 Núrio,69,€1.2M
 L. Balogun,74,€4.9M
 Adrián Maideira,68,€550K
 C. Masuda,64,€250K
 B. Diawara,71,€2.4M
 H. Bazile,72,€3.3M
 P. Faragò,72,€3.9M
 A. Contrera,68,€1.1M
 M. Martínez,69,€1.2M
 Romário,65,€475K
 S. Al Muwallad,67,€725K
 Nuno Reis,70,€1.8M
 I. Dia,70,€1.7M
 J. Payne,61,€300K
 Martin Cordeia,71,€1.4M
 P. Ruddock Mpanzu,63,€450K
 M. Pazdan,76,€6M
 D. Artuago,70,€1.7M
 N. Zárate,69,€1.1M
 J. Toral,69,€1.4M
 J. Cousins,66,€850K
 Allan Ardaújo,70,€1.7M
 P. Michorl,66,€975K
 Javi Jiménez,69,€1.5M
 Samu Delgado,68,€1.1M
 L. Teodorczyk,76,€9.5M
 Cho Won Hee,64,€140K
 S. Svendsen,67,€1.2M
 Jeong Woo Jae,67,€900K
 Jung Seok Hwa,68,€1.1M
 S. Horvath,67,€1M
 P. Rodríguez,71,€2.5M
 T. Mykhalyk,74,€2.3M
 Caio Milaçar,74,€3.4M
 Erick Gameira,74,€6M
 V. Castillo,67,€600K
 M. Vojvoda,67,€850K
 Marco Matias,70,€1.8M
 L. Marín,69,€1.1M
 O. Halvorsen,66,€625K
 E. Şahin,72,€4.2M
 M. Matip,74,€3.8M
 D. Lafferty,67,€600K
 R. Harakawa,64,€600K
 J. Ikoko,74,€6.5M
 Rômulo Calsede,72,€3.1M
 Yang Jun A,63,€300K
 B. Szeliga,64,€600K
 Jang Yun Ho,67,€1.1M
 M. Wöber,73,€4.9M
 K. Janus,67,€675K
 R. Casirón,72,€1.9M
 M. Carrusca,67,€450K
 J. Mezú,67,€800K
 D. Nazarov,68,€950K
 Leonardo,72,€3.7M
 Burgui,75,€9M
 J. Hugill,72,€4.1M
 A. Jakobsen,67,€1M
 I. Bel Hassani,71,€3M
 F. Migliore,67,€575K
 Adrián Burnabão,72,€1.9M
 T. Lindenhahn,63,€400K
 R. Morioka,74,€6.5M
 R. Ligeon,68,€925K
 P. Göbel,68,€1.2M
 G. Grozav,70,€1.9M
 I. Opara,75,€6M
 Lee Ki Je,65,€525K
 G. Pezzella,69,€1.4M
 C. Benavente,72,€4.2M
 A. Winter,66,€600K
 J. Salas,67,€1.1M
 Nascimentardo,71,€2.3M
 S. Wagstaff,67,€800K
 M. Pavelic,67,€800K
 I. Khalili,65,€500K
 S. Mallan,64,€750K
 C. Rius,70,€1.8M
 Fernando Canesín,71,€2.9M
 J. Figal,74,€6.5M
 M. Bourabia,67,€925K
 A. Oueslati,66,€800K
 M. Rubin,67,€575K
 L. Refaelov,73,€3.5M
 A. Fernández,65,€475K
 K. Issah,67,€850K
 Y. Eteki,67,€1.1M
 L. Siligardi,72,€3M
 Patrão,66,€650K
 Leandrinho,66,€875K
 A. van Peppen,64,€250K
 A. Özek,71,€2.3M
 T. Kolodziejczak,75,€7M
 E. Kangwa,69,€1.3M
 G. Porras,66,€375K
 L. Broxham,64,€350K
 C. Guzmán,69,€1.2M
 J. Bidwell,68,€1M
 G. Rólantsson Sørensen,65,€675K
 F. Morais,68,€775K
 B. Whiteman,63,€475K
 Rúben Fernandes,73,€2.7M
 P. Riese,66,€600K
 Imanol García,64,€625K
 K. Németh,68,€900K
 C. Luna,70,€825K
 V. Forren,73,€3.1M
 Z. Erdal,68,€675K
 S. Silva,72,€1.1M
 I. Tajouri-Shradi,71,€3.2M
 Matheus Jesus,65,€825K
 G. Aburjania,67,€925K
 C. Valeri,66,€375K
 T. Bishop,67,€1.2M
 M. Bravo,68,€875K
 K. Sanson,64,€875K
 A. Spörle,68,€1.2M
 A. Wiss,64,€450K
 André Claro,70,€1.9M
 A. Timofeev,69,€1.4M
 Davidson,71,€2.5M
 O. Nguette,70,€2.4M
 V. Yurchenko,67,€1M
 Edenildo Lagoas,66,€475K
 M. Destro,75,€8M
 D. Jones,64,€325K
 D. Gayle,75,€8M
 I. Andriatsima,72,€2M
 S. Grippo,68,€825K
 J. Gammelby,66,€850K
 C. Cisneros,70,€2.4M
 I. Chaykovskyi,68,€1M
 Lee Jong Won,64,€375K
 Rogério,67,€1.3M
 V. Salazar,69,€1.1M
 A. Bamba,71,€2M
 Park Won Jae,65,€210K
 B. Adjei-Boateng,65,€725K
 E. Başsan,71,€2.8M
 S. Zoller,73,€5M
 P. Hidi,68,€1M
 Magno,69,€1.1M
 L. Klostermann,75,€8M
 E. Thommy,72,€4.2M
 F. Gulbrandsen,69,€1.4M
 I. Modonza,70,€1.5M
 G. Carrillo,75,€8M
 S. Rondón,77,€9.5M
 Alexio Sanctos,70,€1.5M
 Flávio Rebeilo,69,€900K
 L. Abdi,68,€900K
 Álvaro García,76,€10M
 David Haro,68,€950K
 V. Sakor,66,€875K
 Álvaro,79,€12M
 N. Gorosito,72,€2.8M
 J. Ahlmann,67,€725K
 T. Beltran,66,€475K
 M. Caraglio,75,€7M
 B. Cáceres,65,€550K
 J. Gandolfi,74,€750K
 T. Thompson,67,€1M
 Diego Ângelo,72,€2.1M
 M. Piossek,66,€675K
 Y. Leiva,68,€1.4M
 Adama,75,€10.5M
 C. Fauño,69,€900K
 Y. Kasim,66,€750K
 D. Duarte,67,€1.5M
 I. Risendo,68,€775K
 S. Gentiletti,76,€4.4M
 I. Oblyakov,66,€1.3M
 Raúl Guti,67,€1.3M
 J. Brenet,74,€6M
 Joshuando Sá,72,€1.2M
 M. Amini,65,€700K
 K. Karami,69,€875K
 Oriol Rosell,69,€1.2M
 Jajá,67,€975K
 C. Corvalán,70,€1.4M
 G. Dicker,66,€475K
 A. Sosnin,68,€850K
 Z. Janjić,66,€575K
 Jessé Ferdeira,68,€775K
 T. Eriksson,64,€350K
 D. Carney,65,€325K
 M. Radović,73,€2.4M
 L. Andersen,75,€9M
 R. Lundström,67,€625K
 G. Paracki,65,€500K
 F. Píriz,68,€850K
 J. Coppinger,66,€220K
 I. Uche,73,€2.5M
 S. Poulsen,63,€200K
 J. Morris,70,€2.7M
 T. Yonemoto,64,€475K
 R. de la Fuente,67,€725K
 T. McMahon,66,€425K
 D. Valoyes,68,€1.6M
 K. Ellis,65,€525K
 M. Cafaro,65,€1M
 G. Danic,68,€400K
 J. Skalák,68,€1.1M
 C. Râpă,66,€550K
 G. Gimbert,71,€2.1M
 C. Bernardi,70,€1.9M
 F. Al Berahim,71,€1.8M
 J. Penroz,70,€1.9M
 B. Wilson,64,€140K
 T. Taguchi,67,€875K
 Y. Mutō,67,€800K
 K. Balanta,70,€2.8M
 Emerson Avintes,71,€2.6M
 S. Doi,70,€2.1M
 Kim Dong Suk,64,€425K
 Z. Stieber,71,€2.4M
 C. Aneke,66,€900K
 Fran Beltrán,69,€1.3M
 S. Skrabb,67,€1.1M
 S. Bannigan,63,€425K
 Derik,68,€975K
 A. Guira,64,€425K
 A. Meier,75,€3.5M
 C. Cadden,68,€1.5M
 Eloi Amagat,71,€1.8M
 P. Martinez,70,€1.4M
 S. Tekerci,64,€600K
 S. Baldock,70,€1.8M
 M. Mustacchio,66,€650K
 Y. Kashiwa,72,€3M
 Gerard Badía,69,€1.1M
 E. Hyndman,67,€1.2M
 J. Jantscher,69,€1.1M
 W. Anton,76,€10M
 F. Özçal,68,€1M
 Paulinho,76,€10M
 D. Zbozień,69,€825K
 Vicemte Tófoli,70,€1.1M
 S. Asamoah,66,€825K
 A. Guido,66,€900K
 A. Alvarez,67,€600K
 Angulo,71,€1.5M
 C. Sapong,69,€1.1M
 E. Schreiner,64,€350K
 M. Haukås,62,€275K
 Choi Jong Hoan,63,€275K
 Diego Farías,74,€6M
 Luis Marleiro,66,€725K
 I. Hayden,72,€3.7M
 D. Sow,67,€1.7M
 M. Suárez,74,€5.5M
 Kike García,75,€7M
 M. Pereira Lage,69,€1.6M
 Castro,71,€3.3M
 T. Serbest,69,€1.2M
 D. Gray,75,€10M
 Asdrúbal,67,€900K
 P. Corral,69,€1.3M
 Lucas Galvão,68,€925K
 B. Kololli,65,€650K
 Ricardo Lopes,69,€1.1M
 Caio Nunson,75,€5M
 B. Beckeles,70,€1.2M
 L. Ngwat Mahop,66,€625K
 N. Byrne,68,€925K
 C. Fierro,71,€3.2M
 L. Haraslín,68,€1.4M
 W. Montoya,71,€3.2M
 T. Kemp,65,€450K
 Lee Sang Ki,64,€700K
 T. Kortegaard,62,€170K
 S. D'Elia,68,€700K
 Eltildo Bessa,71,€1.5M
 K. Nagasawa,67,€900K
 K. Rekik,78,€11.5M
 M. Chrapek,67,€950K
 E. Palacios,67,€1.6M
 J. Blanco,70,€2.1M
 Amilton,71,€2.5M
 Joselu,75,€7M
 G. Holtmann,70,€2.6M
 L. Gooch,66,€1M
 H. Robson-Kanu,69,€1.1M
 Ryan Mendes,74,€6M
 M. Pavone,72,€1.4M
 R. Henry,68,€1.4M
 P. Testroet,67,€825K
 D. Lazović,74,€6M
 Ranteiro Alves,69,€650K
 A. Szalai,75,€6.5M
 L. Bustamante,72,€2.7M
 Murilo Freitas,70,€2.9M
 D. Lazarević,72,€3.3M
 Kang Sang Woo,67,€825K
 Rafa Navarro,70,€2.1M
 A. Saelemaekers,65,€1.1M
 D. Álvarez,72,€4.2M
 Cristian Lodeira,72,€3.4M
 F. Kaufmann,65,€675K
 C. Remmer,67,€825K
 J. Mellis,65,€625K
 A. Hammill,68,€875K
 Isaac Carcelén,67,€825K
 M. Paulissen,67,€975K
 S. Marinos,70,€1.3M
 G. Galitsios,69,€750K
 R. Shirasaki,66,€800K
 F. Peluso,73,€1.5M
 E. Vindegas,69,€650K
 S. Diarra,68,€550K
 P. Türpitz,69,€1.3M
 Ángel,74,€5.5M
 Alberto Martín,72,€2.5M
 Milton Menceiros,70,€1.6M
 S. Inagaki,65,€650K
 J. Smith,62,€275K
 S. McQueen,67,€950K
 T. Smith,72,€3.1M
 H. Mahbub,67,€825K
 T. Valls,65,€700K
 M. Jones,63,€350K
 L. Spendlhofer,68,€1M
 S. Eduok,69,€1.4M
 E. Oikonomou,70,€1.4M
 E. Fejzullahu,67,€750K
 B. Coker,66,€500K
 G. Baldock,67,€800K
 B. Kopplin,67,€600K
 E. Bakker,68,€925K
 A. Dudiev,68,€950K
 A. Richards,70,€1.5M
 K. Mitroglou,78,€10.5M
 D. Olsen,64,€350K
 Oriol Riera,73,€3.9M
 Javi Flaño,68,€500K
 Otávio Cairinho,75,€6M
 H. Altıntop,71,€1.2M
 Matheus Índio,68,€1.4M
 José Cañas,75,€4.9M
 J. Ménez,73,€3.9M
 João Carvalho,73,€7M
 S. Tonali,65,€1.1M
 L. Odak,63,€300K
 A. Ibargüen,75,€8M
 M. Guzmán,65,€400K
 J. Cabezas,71,€2.3M
 D. Oberlin,70,€3.1M
 M. Broberg,63,€425K
 Y. Gordillo,73,€4.5M
 J. Robinson,69,€1.2M
 M. Hairston,65,€575K
 E. Goldero,62,€180K
 F. Uribe,74,€5.5M
 T. Ondaan,67,€1M
 R. Zozulya,71,€2.5M
 H. Duljević,68,€1.2M
 J. Aguirre,68,€850K
 K. Haraldseid,65,€625K
 R. Ibarra,69,€1.4M
 F. Lustenberger,76,€6M
 E. Salli,69,€1.3M
 Manu Del Moral,72,€2M
 B. Grant,64,€475K
 F. Herbers,65,€700K
 Thio Rolim,62,€180K
 M. Pinato,64,€575K
 Borja Domínguez,69,€1.3M
 B. Berisha,71,€2.1M
 F. Marković,66,€775K
 L. Rodríguez,63,€425K
 Filipe Chaby,70,€2.5M
 L. Tipton,65,€475K
 P. Aránguiz,72,€4.8M
 L. Paz,67,€625K
 M. Calderoni,68,€700K
 S. Slavchev,68,€1.2M
 Nuno Rocha,69,€1.3M
 E. Manu,69,€1.4M
 M. Lysov,68,€1M
 J. Lolley,69,€1.3M
 Derley,70,€1.8M
 A. Lusamba,70,€2.8M
 S. Murray,64,€600K
 Bruno Tabata,70,€2.8M
 Renaldo Justinho,70,€1.1M
 G. Courtet,70,€1.8M
 G. Verón,70,€1.9M
 C. Lizarazo,68,€950K
 S. Michel,69,€1.2M
 D. Pisot,68,€700K
 Kim Shin Wook,69,€1.1M
 G. Bettini,73,€4.5M
