Special,Value,Age,Overall
1808,925000,25,68
1808,850000,24,66
1808,750000,25,67
1808,850000,20,64
1808,300000,26,61
1808,2000000,31,72
1808,1000000,25,69
1808,1000000,24,68
1808,2000000,25,71
1807,4000000,23,73
1807,725000,26,67
1807,475000,29,66
1807,6000000,27,75
1807,475000,29,66
1807,375000,33,66
1807,1000000,33,72
1807,240000,36,67
1807,3000000,29,73
1807,8000000,23,75
1807,1000000,28,71
1807,750000,26,66
1807,2000000,32,73
1807,525000,28,65
1807,300000,32,65
1807,900000,33,71
1806,950000,27,68
1806,1000000,28,70
1806,3000000,26,73
1806,1000000,35,72
1806,11000000,21,76
1806,675000,27,66
1806,4000000,24,72
1806,350000,33,68
1806,925000,26,68
1806,10000000,22,75
1806,6000000,31,75
1806,475000,28,64
1806,550000,25,64
1806,10000000,20,75
1806,5000000,24,73
1806,525000,27,66
1806,2000000,27,71
1806,1000000,23,69
1806,1000000,20,68
1806,1000000,23,67
1806,675000,27,66
1806,650000,28,66
1806,1000000,25,70
1805,525000,23,64
1805,60000,36,65
1805,2000000,30,71
1805,1000000,28,71
1805,1000000,22,67
1805,2000000,21,70
1805,1000000,24,70
1805,650000,31,67
1805,1000000,25,68
1805,600000,32,69
1805,26000000,21,82
1805,500000,29,66
1805,1000000,24,68
1805,600000,23,65
1805,3000000,23,71
1805,2000000,27,71
1805,925000,34,70
1805,2000000,24,71
1805,2000000,24,70
1805,700000,31,69
1805,750000,24,66
1805,525000,28,66
1805,300000,33,67
1804,675000,25,65
1804,500000,28,66
1804,750000,30,69
1804,1000000,19,69
1804,2000000,31,72
1804,975000,23,67
1804,875000,27,69
1804,2000000,26,71
1804,2000000,24,71
1804,14000000,27,80
1804,5000000,29,74
1804,3000000,20,70
1804,925000,31,69
1804,7000000,32,77
1804,1000000,20,69
1804,350000,27,63
1804,350000,32,66
1804,4000000,22,72
1804,1000000,26,69
1804,850000,25,67
1804,525000,24,64
1804,3000000,34,74
1804,925000,25,68
1804,240000,30,61
1804,950000,35,73
1804,2000000,27,72
1804,1000000,24,69
1803,2000000,32,73
1803,35000000,25,84
1803,2000000,23,71
1803,425000,32,67
1803,8000000,23,74
1803,2000000,34,75
1803,700000,26,66
1803,2000000,27,72
1803,2000000,24,71
1803,850000,24,66
1803,1000000,28,70
1803,2000000,26,71
1803,700000,28,68
1803,4000000,33,75
1803,2000000,33,73
1802,775000,26,67
1802,3000000,29,73
1802,675000,32,68
1802,4000000,32,74
1802,1000000,26,69
1802,7000000,26,75
1802,1000000,19,68
1802,3000000,22,72
1802,975000,23,68
1802,825000,26,67
1802,3000000,24,71
1802,3000000,20,71
1802,575000,24,65
1802,800000,27,67
1802,3000000,25,72
1802,8000000,24,75
1802,5000000,28,74
1802,9000000,30,79
1802,425000,28,65
1802,1000000,28,71
1802,3000000,24,72
1802,3000000,21,72
1802,2000000,22,70
1802,3000000,29,72
1802,4000000,29,73
1802,6000000,29,75
1802,1000000,34,73
1802,1000000,22,69
1801,150000,34,62
1801,1000000,28,70
1801,4000000,30,75
1801,750000,29,67
1801,5000000,33,77
1801,3000000,26,72
1801,2000000,23,70
1801,1000000,22,67
1801,1000000,30,70
1801,2000000,24,71
1801,600000,31,68
1801,2000000,23,71
1801,2000000,32,73
1801,800000,28,67
1801,675000,24,66
1801,675000,30,68
1801,425000,33,69
1801,1000000,20,69
1801,7000000,26,76
1801,8000000,23,74
1801,1000000,26,69
1800,875000,27,69
1800,650000,25,65
1800,2000000,26,71
1800,925000,25,69
1800,950000,25,67
1800,3000000,25,72
1800,2000000,29,71
1800,750000,26,66
1800,750000,29,67
1800,725000,30,67
1800,3000000,25,72
1800,1000000,28,70
1800,350000,32,66
1800,1000000,26,69
1800,775000,26,66
1800,1000000,33,71
1800,1000000,20,68
1800,7000000,27,75
1800,1000000,20,68
1800,625000,29,66
1800,250000,33,66
1800,9000000,24,76
1800,5000000,21,73
1800,1000000,21,69
1800,5000000,28,75
1799,325000,26,63
1799,2000000,26,71
1799,700000,21,65
1799,575000,31,66
1799,1000000,32,70
1799,1000000,27,70
1799,775000,22,65
1799,900000,28,68
1799,2000000,26,71
1799,900000,23,67
1799,1000000,29,70
1799,950000,25,68
1799,1000000,29,70
1799,475000,30,66
1799,1000000,19,66
1798,6000000,23,74
1798,10000000,28,78
1798,975000,21,66
1798,1000000,29,69
1798,4000000,22,72
1798,1000000,32,71
1798,4000000,26,73
1798,250000,32,64
1798,4000000,21,72
1798,170000,33,64
1798,4000000,31,74
1798,1000000,32,72
1798,925000,27,68
1798,975000,25,68
1798,1000000,19,65
1798,925000,25,68
1798,950000,26,68
1798,7000000,29,76
1798,1000000,31,70
1798,500000,30,65
1798,700000,24,65
1798,220000,30,62
1798,8000000,32,80
1798,725000,30,67
1798,2000000,28,71
1798,1000000,33,71
1798,1000000,33,71
1797,600000,31,68
1797,925000,26,68
1797,2000000,23,70
1797,7000000,27,76
1797,1000000,18,69
1797,875000,26,67
1797,650000,25,65
1797,525000,27,66
1797,700000,31,69
1797,425000,31,66
1797,5000000,29,75
1797,550000,25,65
1797,775000,25,66
1797,475000,30,66
1797,450000,27,65
1797,8000000,28,76
1797,2000000,30,71
1797,2000000,28,71
1796,1000000,29,71
1796,1000000,26,69
1796,10000000,26,77
1796,675000,33,70
1796,1000000,22,68
1796,2000000,25,71
1796,1000000,21,68
1796,1000000,27,70
1796,275000,34,65
1796,1000000,20,67
1796,2000000,32,72
1796,500000,29,66
1796,3000000,24,71
1796,850000,30,68
1796,6000000,28,75
1796,1000000,25,68
1796,825000,28,69
1796,675000,33,70
1796,1000000,25,70
1796,4000000,24,73
1796,725000,23,66
1796,1000000,19,69
1796,6000000,29,75
1796,5000000,33,77
1796,1000000,20,67
1796,1000000,29,69
1796,9000000,20,75
1795,7000000,22,75
1795,1000000,23,67
1795,3000000,24,71
1795,675000,25,65
1795,1000000,25,68
1795,120000,38,70
1795,925000,28,68
1795,850000,26,68
1795,675000,25,66
1795,3000000,27,72
1795,350000,32,66
1795,425000,28,65
1795,750000,22,65
1795,5000000,22,73
1795,925000,25,68
1795,325000,30,64
1795,675000,29,68
1795,325000,34,69
1795,3000000,33,74
1795,750000,28,67
1795,1000000,29,70
1795,950000,27,68
1795,4000000,24,73
1795,700000,31,69
1795,5000000,24,73
1795,1000000,22,69
1795,2000000,22,70
1794,1000000,25,68
1794,450000,27,65
1794,2000000,31,71
1794,625000,27,67
1794,1000000,30,70
1794,925000,34,70
1794,1000000,25,69
1794,425000,33,69
1794,2000000,22,70
1794,2000000,27,71
1794,1000000,23,69
1794,4000000,30,74
1794,1000000,28,71
1794,925000,31,69
1794,3000000,25,72
1794,1000000,24,68
1794,1000000,20,69
1794,3000000,25,72
1794,275000,35,66
1794,1000000,26,70
1794,2000000,25,71
1794,3000000,20,71
1794,725000,30,67
1794,525000,31,67
1794,500000,27,65
1794,1000000,24,68
1793,450000,27,65
1793,375000,31,64
1793,850000,23,66
1793,18000000,28,82
1793,1000000,29,70
1793,1000000,22,69
1793,550000,27,65
1793,925000,28,68
1793,2000000,28,72
1793,4000000,22,72
1793,2000000,28,71
1793,850000,28,69
1793,1000000,29,69
1793,6000000,20,73
1793,140000,35,66
1793,3000000,27,72
1793,900000,28,68
1793,450000,24,63
1793,2000000,21,71
1793,850000,23,66
1793,2000000,27,71
1793,3000000,24,72
1793,3000000,33,74
1793,550000,27,65
1793,700000,28,68
1793,1000000,27,70
1793,575000,33,68
1793,3000000,29,72
1793,3000000,23,72
1793,5000000,23,73
1792,11000000,23,76
1792,1000000,23,69
1792,1000000,27,70
1792,975000,24,68
1792,240000,36,70
1792,1000000,27,70
1792,3000000,24,72
1792,1000000,26,69
1792,12000000,21,77
1792,700000,23,65
1792,140000,35,66
1792,7000000,25,74
1792,2000000,23,70
1792,775000,30,69
1791,1000000,31,70
1791,375000,31,64
1791,1000000,22,67
1791,7000000,25,74
1791,825000,32,69
1791,275000,35,66
1791,7000000,27,75
1791,9000000,26,77
1791,2000000,24,70
1791,700000,23,65
1791,3000000,21,71
1791,900000,23,66
1791,550000,25,64
1791,210000,33,65
1791,4000000,21,72
1791,900000,20,67
1791,7000000,22,75
1790,325000,31,63
1790,950000,27,68
1790,1000000,29,70
1790,450000,29,64
1790,1000000,27,70
1790,575000,21,63
1790,350000,32,64
1790,500000,23,63
1790,2000000,23,70
1790,550000,22,63
1790,1000000,29,69
1790,925000,23,67
1790,825000,24,67
1790,3000000,33,74
1790,1000000,20,68
1790,950000,24,67
1790,675000,31,67
1790,600000,29,67
1790,375000,32,66
1790,1000000,23,69
1790,3000000,33,74
1790,4000000,22,72
1790,2000000,20,70
1789,850000,32,69
1789,3000000,21,71
1789,3000000,29,72
1789,975000,25,68
1789,4000000,23,72
1789,4000000,25,73
1789,575000,22,64
1789,975000,24,67
1789,1000000,27,70
1789,900000,33,71
1789,625000,25,66
1789,800000,23,66
1789,28000000,30,85
1789,240000,31,63
1789,1000000,29,70
1789,1000000,19,68
1789,1000000,25,69
1789,1000000,26,70
1789,700000,31,69
1789,4000000,20,72
1788,1000000,37,74
1788,850000,28,69
1788,750000,29,67
1788,850000,24,67
1788,5000000,24,73
1788,3000000,30,72
1788,825000,22,65
1788,525000,37,70
1788,975000,30,69
1788,750000,29,67
1788,6000000,29,75
1788,700000,23,66
1788,350000,30,63
1788,6000000,30,75
1788,525000,26,64
1788,6000000,28,76
1788,650000,31,67
1788,180000,34,66
1788,2000000,22,70
1788,575000,24,65
1787,450000,27,65
1787,4000000,23,72
1787,1000000,23,69
1787,975000,24,67
1787,600000,28,67
1787,425000,30,64
1787,650000,28,66
1787,450000,28,65
1787,925000,25,67
1787,675000,29,68
1787,8000000,27,76
1787,2000000,32,73
1787,975000,24,67
1787,650000,27,66
1787,1000000,29,70
1787,2000000,24,70
1787,975000,23,67
1787,650000,26,66
1787,9000000,25,76
1787,425000,29,64
1787,1000000,24,68
1787,4000000,27,73
1787,1000000,26,70
1786,2000000,22,70
1786,1000000,24,68
1786,750000,25,67
1786,4000000,26,73
1786,725000,27,67
1786,4000000,24,72
1786,1000000,24,68
1786,700000,31,69
1786,400000,29,65
1786,775000,31,68
1786,1000000,29,69
1786,10000000,23,76
1786,700000,23,65
1786,240000,29,61
1786,875000,29,68
1786,2000000,26,71
1786,1000000,32,70
1786,875000,29,68
1786,350000,30,63
1786,725000,33,70
1786,625000,29,66
1786,650000,25,66
1786,1000000,37,73
1786,3000000,32,73
1786,400000,29,65
1785,1000000,24,67
1785,7000000,27,75
1785,3000000,26,72
1785,850000,39,72
1785,550000,34,70
1785,750000,29,67
1785,950000,23,68
1785,160000,35,67
1785,650000,31,67
1785,2000000,26,71
1785,220000,34,67
1785,700000,29,68
1785,750000,27,68
1785,1000000,26,69
1785,925000,21,66
1785,850000,22,67
1785,425000,26,63
1785,2000000,25,71
1785,1000000,20,65
1785,600000,25,65
1785,375000,27,63
1785,5000000,31,74
1785,375000,35,70
1785,1000000,28,70
1785,1000000,27,69
1785,750000,27,68
1785,1000000,25,69
1784,3000000,24,71
1784,7000000,20,75
1784,675000,29,68
1784,800000,21,65
1784,4000000,28,73
1784,1000000,19,68
1784,2000000,33,73
1784,1000000,18,69
1784,6000000,25,74
1784,1000000,25,69
1784,2000000,23,70
1784,1000000,28,69
1784,675000,22,64
1784,7000000,26,75
1784,1000000,29,70
1784,900000,22,67
1784,2000000,23,70
1784,6000000,26,74
1784,1000000,22,69
1784,1000000,32,71
1784,575000,27,65
1784,1000000,24,70
1783,1000000,24,69
1783,1000000,23,69
1783,900000,24,66
1783,2000000,19,69
1783,2000000,28,72
1783,1000000,26,70
1783,1000000,24,69
1783,1000000,27,70
1783,3000000,32,75
1783,1000000,23,69
1783,1000000,22,68
1783,2000000,25,71
1783,1000000,22,69
1783,1000000,26,70
1783,1000000,31,70
1783,375000,27,63
1783,7000000,23,74
1783,400000,30,65
1783,725000,21,64
1783,700000,29,68
1783,2000000,25,71
1783,5000000,22,73
1783,2000000,33,73
1783,1000000,25,70
1783,375000,32,66
1783,4000000,22,72
1783,500000,31,67
1783,900000,22,67
1783,275000,32,63
1783,250000,33,66
1783,900000,26,67
1783,950000,33,71
1783,2000000,35,74
1782,1000000,25,70
1782,1000000,25,69
1782,500000,31,67
1782,5000000,30,76
1782,325000,35,67
1782,1000000,28,69
1782,500000,23,64
1782,1000000,28,70
1782,500000,31,67
1782,1000000,24,68
1782,700000,29,68
1782,1000000,23,69
1782,300000,31,64
1782,1000000,28,70
1782,1000000,20,68
1782,525000,32,68
1782,750000,30,69
1782,675000,33,70
1782,7000000,25,76
1782,300000,36,68
1782,875000,22,66
1782,475000,22,63
1782,1000000,33,73
1782,500000,30,65
1782,300000,31,64
1782,925000,21,66
1782,475000,30,66
1782,2000000,30,71
1782,3000000,31,74
1782,325000,30,64
1782,7000000,27,75
1781,18000000,22,80
1781,450000,33,67
1781,12000000,20,77
1781,475000,31,65
1781,1000000,24,68
1781,2000000,22,70
1781,725000,25,67
1781,1000000,22,68
1781,2000000,28,71
1781,725000,19,65
1781,2000000,20,70
1781,375000,31,65
1781,1000000,23,68
1781,825000,22,65
1781,550000,19,64
1781,1000000,23,68
1781,850000,24,66
1781,725000,24,66
1781,3000000,31,73
1781,1000000,23,68
1781,825000,30,68
1781,2000000,22,70
1781,850000,28,69
1781,675000,29,68
1780,1000000,22,67
1780,625000,29,66
1780,600000,30,66
1780,1000000,28,69
1780,3000000,26,72
1780,9000000,20,76
1780,6000000,26,74
1780,725000,26,67
1780,900000,29,68
1780,4000000,22,73
1780,975000,24,67
1780,7000000,22,75
1780,1000000,22,69
1780,600000,29,67
1780,350000,29,63
1780,3000000,30,72
1780,3000000,22,71
1780,825000,19,65
1780,1000000,29,70
1780,1000000,20,69
1780,825000,28,69
1780,4000000,27,73
1780,950000,19,64
1780,3000000,33,74
1779,775000,25,67
1779,550000,27,65
1779,6000000,24,74
1779,5000000,32,75
1779,120000,33,62
1779,650000,28,66
1779,1000000,28,71
1779,750000,29,67
1779,425000,34,68
1779,12000000,26,78
1779,6000000,27,74
1779,700000,32,68
1779,625000,29,66
1779,5000000,29,75
1779,1000000,30,71
1779,475000,26,64
1779,675000,21,64
1779,2000000,22,70
1779,3000000,23,71
1779,1000000,22,68
1779,1000000,17,65
1779,875000,22,66
1779,17000000,21,79
1779,1000000,18,68
1779,1000000,29,70
1779,625000,29,66
1778,1000000,19,69
1778,450000,35,69
1778,1000000,33,71
1778,1000000,25,68
1778,375000,28,63
1778,1000000,26,69
1778,1000000,29,70
1778,625000,23,64
1778,3000000,22,72
1778,2000000,23,70
1778,1000000,29,70
1778,575000,32,69
1778,775000,28,67
1778,775000,28,67
1778,1000000,28,69
1778,1000000,22,69
1778,3000000,27,73
1778,1000000,26,69
1778,600000,24,64
1778,325000,35,67
1778,4000000,27,73
1777,575000,31,66
1777,1000000,26,68
1777,1000000,25,69
1777,2000000,27,71
1777,900000,26,67
1777,220000,33,65
1777,5000000,23,73
1777,1000000,21,68
1777,1000000,25,70
1777,6000000,24,74
1777,14000000,20,78
1777,3000000,27,72
1777,1000000,32,71
1777,775000,25,67
1777,475000,29,66
1777,3000000,24,71
1777,975000,24,68
1777,500000,30,65
1777,375000,25,62
1777,1000000,22,68
1777,475000,29,66
1777,1000000,29,70
1777,19000000,24,81
1777,525000,25,64
1777,475000,24,63
1777,575000,29,67
1777,2000000,28,71
1777,12000000,23,78
1776,500000,29,66
1776,7000000,25,75
1776,12000000,31,81
1776,800000,28,67
1776,160000,35,67
1776,5000000,25,73
1776,1000000,23,69
1776,2000000,23,70
1776,400000,33,69
1776,550000,25,66
1776,900000,22,66
1776,10000000,23,76
1776,1000000,29,69
1776,1000000,30,70
1776,600000,30,66
1776,2000000,25,71
1776,4000000,30,75
1776,275000,29,63
1776,2000000,23,70
1776,1000000,25,68
1776,875000,27,69
1776,3000000,22,71
1776,800000,23,67
1776,650000,33,69
1776,1000000,24,68
1776,3000000,30,73
1776,550000,21,63
1776,2000000,25,71
1776,2000000,30,71
1776,2000000,23,70
1776,625000,28,67
1775,950000,20,65
1775,600000,30,66
1775,425000,23,63
1775,1000000,25,68
1775,1000000,29,70
1775,1000000,19,68
1775,300000,28,63
1775,350000,30,63
1775,575000,31,68
1775,275000,22,60
1775,825000,32,69
1775,2000000,28,72
1775,500000,31,67
1775,1000000,28,69
1775,325000,30,64
1775,1000000,19,68
1775,475000,33,67
1775,950000,27,68
1775,3000000,29,72
1775,825000,23,66
1775,800000,32,69
1775,1000000,23,68
1774,850000,28,69
1774,1000000,28,70
1774,550000,33,68
1774,750000,21,66
1774,2000000,25,70
1774,1000000,19,68
1774,1000000,22,69
1774,4000000,29,74
1774,550000,33,68
1774,250000,32,64
1774,2000000,29,71
1774,3000000,27,72
1774,3000000,24,72
1774,1000000,25,68
1774,1000000,24,69
1774,475000,31,65
1774,725000,26,67
1773,1000000,26,70
1773,1000000,30,70
1773,300000,26,61
1773,1000000,33,71
1773,450000,23,63
1773,6000000,29,76
1773,1000000,29,70
1773,1000000,24,69
1773,1000000,22,69
1773,850000,23,66
1773,1000000,29,70
1773,975000,22,66
1773,1000000,21,69
1773,1000000,24,68
1773,9000000,26,76
1773,140000,34,64
1773,1000000,19,67
1773,900000,25,67
1773,1000000,26,68
1773,1000000,20,67
1773,2000000,27,71
1773,2000000,33,74
1773,3000000,33,74
1773,6000000,25,74
1773,600000,29,67
1773,850000,22,67
1773,1000000,28,70
1773,1000000,25,69
1773,625000,29,66
1773,4000000,22,72
1773,3000000,31,74
1773,600000,28,67
1773,600000,23,64
1773,6000000,23,74
1772,3000000,29,72
1772,300000,28,63
1772,600000,24,64
1772,1000000,20,67
1772,4000000,19,73
1772,675000,31,67
1772,1000000,33,72
1772,450000,33,67
1772,800000,27,67
1772,950000,27,68
1772,3000000,25,72
1772,9000000,23,75
1772,4000000,25,72
1772,1000000,23,67
1772,3000000,24,71
1772,575000,29,67
1772,1000000,33,72
1772,400000,26,63
1772,6000000,26,74
1772,925000,25,68
1772,1000000,23,68
1772,1000000,26,70
1772,6000000,28,75
1772,525000,25,65
1772,1000000,19,69
1772,4000000,23,72
1771,600000,30,66
1771,1000000,23,67
1771,2000000,29,71
1771,800000,27,67
1771,800000,23,67
1771,500000,30,65
1771,750000,21,64
1771,1000000,28,70
1771,2000000,25,71
1771,6000000,23,74
1771,925000,25,67
1771,800000,25,66
1771,575000,29,67
1771,3000000,31,73
1771,475000,31,65
1771,850000,24,67
1771,1000000,19,67
1771,3000000,29,72
1771,650000,27,66
1771,875000,23,66
1771,250000,32,64
1771,2000000,29,71
1771,7000000,25,75
1771,1000000,24,69
1771,375000,33,66
1771,350000,29,64
1771,1000000,23,69
1771,1000000,24,68
1771,675000,24,65
1770,775000,31,68
1770,475000,21,63
1770,2000000,31,73
1770,600000,27,66
1770,625000,21,64
1770,900000,28,68
1770,825000,35,70
1770,3000000,29,73
1770,675000,29,68
1770,1000000,36,72
1770,3000000,23,71
1770,825000,20,65
1770,925000,22,67
1770,375000,32,66
1770,1000000,20,67
1770,875000,30,68
1770,875000,20,64
1770,1000000,21,68
1770,450000,26,64
1770,1000000,26,70
1770,1000000,23,69
1769,2000000,26,71
1769,2000000,22,70
1769,1000000,23,67
1769,475000,29,66
1769,8000000,26,75
1769,325000,30,64
1769,8000000,26,75
1769,2000000,33,72
1769,825000,28,68
1769,850000,22,66
1769,2000000,23,70
1769,1000000,25,68
1769,375000,28,64
1769,1000000,19,67
1769,1000000,24,69
1769,2000000,27,71
1769,210000,33,65
1769,725000,23,65
1769,2000000,25,71
1769,5000000,26,73
1769,1000000,26,68
1769,1000000,29,69
1769,8000000,21,75
1769,4000000,22,72
1769,1000000,24,69
1769,1000000,25,70
1769,8000000,26,75
1769,9000000,27,77
1769,1000000,25,70
1768,900000,25,69
1768,900000,28,68
1768,10000000,24,76
1768,950000,26,68
1768,875000,21,66
1768,12000000,27,79
1768,2000000,28,72
1768,725000,26,67
1768,475000,29,66
1768,7000000,28,75
1768,550000,28,65
1768,750000,36,74
1768,1000000,21,67
1768,2000000,31,72
1768,675000,27,66
1768,1000000,19,68
1768,10000000,21,75
1768,900000,25,69
1767,750000,26,66
1767,1000000,17,67
1767,775000,25,68
1767,4000000,32,76
1767,1000000,18,66
1767,1000000,20,67
1767,6000000,23,74
1767,1000000,33,72
1767,700000,24,65
1767,875000,27,69
1767,1000000,24,69
1767,975000,22,67
1767,1000000,28,70
1767,475000,30,66
1767,850000,27,68
1767,575000,31,66
1767,775000,25,68
1767,350000,32,64
1767,325000,33,65
1767,2000000,33,73
1767,9000000,22,75
1767,625000,27,67
1767,500000,30,65
1767,850000,27,68
1766,220000,36,66
1766,2000000,33,73
1766,200000,32,63
1766,2000000,22,70
1766,475000,26,64
1766,725000,26,67
1766,425000,31,66
1766,1000000,20,68
1766,525000,26,65
1766,1000000,20,65
1766,400000,35,68
1766,1000000,25,68
1766,550000,27,66
1766,2000000,31,71
1766,1000000,27,70
1766,1000000,30,71
1766,1000000,25,70
1766,140000,34,64
1766,875000,26,67
1766,800000,28,67
1766,2000000,20,70
1766,2000000,25,71
1766,2000000,25,70
1766,425000,30,64
1766,2000000,28,71
1766,900000,23,66
1765,1000000,18,69
1765,1000000,22,67
1765,425000,24,63
1765,975000,24,68
1765,425000,29,64
1765,3000000,34,75
1765,1000000,20,68
1765,1000000,32,71
1765,1000000,28,70
1765,600000,23,64
1765,1000000,28,70
1765,650000,28,66
1765,3000000,29,72
1765,1000000,27,69
1765,1000000,21,67
1765,1000000,28,69
1765,10000000,20,76
1765,1000000,26,68
1765,10000000,24,76
1765,825000,28,69
1764,1000000,33,70
1764,825000,23,66
1764,900000,23,66
1764,600000,32,67
1764,1000000,33,71
1764,1000000,28,69
1764,350000,28,64
1764,275000,30,62
1764,275000,29,63
1764,6000000,27,74
1764,725000,25,66
1764,3000000,22,72
1764,1000000,20,67
1764,5000000,29,74
1764,7000000,27,75
1764,1000000,20,69
1764,3000000,22,71
1764,1000000,23,69
1764,10000000,21,75
1764,900000,26,67
1764,1000000,25,69
1764,925000,26,68
1764,650000,25,65
1764,1000000,26,69
1764,5000000,29,75
1763,1000000,31,70
1763,625000,29,66
1763,925000,25,68
1763,3000000,22,71
1763,1000000,21,68
1763,3000000,23,71
1763,450000,26,65
1763,700000,21,64
1763,170000,32,62
1763,700000,28,68
1763,1000000,33,71
1763,900000,25,67
1763,11000000,22,78
1763,950000,25,67
1763,1000000,18,67
1763,2000000,25,70
1763,2000000,27,71
1763,7000000,27,75
1763,2000000,22,70
1763,1000000,21,66
1763,1000000,28,69
1763,6000000,27,74
1763,1000000,35,72
1763,1000000,19,68
1763,825000,26,67
1762,6000000,26,74
1762,650000,33,69
1762,6000000,29,75
1762,2000000,31,72
1762,2000000,21,70
1762,3000000,27,72
1762,825000,23,67
1762,2000000,23,70
1762,1000000,18,65
1762,4000000,22,72
1762,3000000,25,72
1762,675000,24,65
1762,825000,24,67
1762,625000,26,65
1762,875000,29,68
1762,825000,24,67
1762,975000,24,67
1762,1000000,29,70
1762,750000,30,69
1762,800000,24,66
1762,1000000,33,73
1762,650000,33,69
1762,550000,33,68
1762,1000000,25,69
1761,5000000,30,74
1761,2000000,28,72
1761,1000000,25,70
1761,650000,25,65
1761,275000,30,62
1761,950000,22,67
1761,3000000,25,72
1761,825000,24,67
1761,700000,21,65
1761,350000,29,63
1761,1000000,24,68
1761,1000000,23,69
1761,1000000,29,70
1761,750000,29,67
1761,500000,28,66
1761,800000,24,67
1761,600000,28,67
1761,925000,27,68
1761,950000,27,68
1761,1000000,26,70
1761,10000000,29,78
1761,350000,32,64
1761,3000000,30,73
1761,500000,32,68
1761,6000000,25,75
1761,1000000,34,71
1761,1000000,21,68
1761,4000000,30,75
1761,3000000,30,73
1761,7000000,20,73
1761,1000000,17,65
1761,300000,27,63
1761,8000000,25,75
1760,400000,32,65
1760,2000000,26,71
1760,3000000,19,70
1760,425000,26,63
1760,4000000,25,73
1760,1000000,23,69
1760,575000,23,65
1760,180000,33,62
1760,5000000,29,74
1760,1000000,23,67
1760,2000000,27,71
1760,1000000,23,68
1760,850000,30,68
1760,625000,23,65
1760,1000000,22,69
1760,6000000,29,76
1760,1000000,24,69
1760,2000000,33,72
1760,475000,27,64
1760,700000,23,65
1760,180000,33,62
1759,575000,22,64
1759,1000000,25,69
1759,2000000,31,71
1759,775000,25,66
1759,425000,23,63
1759,2000000,23,70
1759,475000,24,65
1759,4000000,20,72
1759,625000,28,67
1759,700000,28,68
1759,1000000,23,68
1759,1000000,25,69
1759,1000000,23,69
1759,1000000,19,68
1759,1000000,24,69
1759,1000000,29,70
1759,2000000,20,70
1759,600000,23,64
1759,2000000,20,70
1759,1000000,33,70
1759,1000000,28,70
1759,1000000,27,70
1759,950000,26,68
1759,1000000,26,69
1759,700000,29,68
1759,1000000,29,69
1759,4000000,24,73
1759,525000,28,66
1759,10000000,25,77
1759,650000,25,66
1759,925000,27,68
1759,650000,33,69
1759,850000,32,69
1759,850000,24,67
1759,600000,29,67
1758,675000,31,67
1758,975000,20,66
1758,28000000,22,83
1758,600000,32,67
1758,825000,26,67
1758,725000,23,65
1758,600000,31,68
1758,1000000,32,70
1758,825000,24,67
1758,1000000,24,68
1758,700000,31,69
1758,1000000,29,71
1758,700000,26,66
1758,8000000,27,78
1758,775000,21,65
1758,350000,32,66
1758,750000,27,68
1757,1000000,31,70
1757,3000000,27,72
1757,700000,25,66
1757,700000,32,68
1757,210000,28,60
1757,850000,21,65
1757,275000,34,68
1757,1000000,22,67
1757,1000000,27,69
1757,1000000,23,69
1757,450000,28,64
1757,2000000,24,70
1757,3000000,31,73
1757,2000000,23,70
1757,4000000,26,73
1757,550000,34,70
1757,625000,29,66
1757,10000000,21,76
1757,2000000,23,70
1757,450000,27,65
1757,650000,33,69
1757,1000000,21,68
1757,550000,25,65
1757,1000000,20,66
1757,700000,23,65
1757,1000000,24,69
1757,825000,28,69
1757,1000000,22,69
1757,6000000,27,74
1756,1000000,26,70
1756,500000,29,66
1756,425000,29,65
1756,1000000,33,70
1756,750000,28,67
1756,950000,27,68
1756,1000000,18,68
1756,1000000,20,68
1756,1000000,25,68
1756,7000000,29,77
1756,425000,30,64
1756,3000000,25,72
1756,5000000,24,73
1756,2000000,23,70
1756,950000,27,68
1756,950000,22,66
1756,1000000,25,70
1756,1000000,24,69
1756,875000,23,67
1756,2000000,25,71
1756,1000000,27,70
1756,1000000,25,69
1756,5000000,24,73
1756,1000000,22,69
1756,6000000,28,75
1756,275000,32,63
1756,575000,31,66
1756,350000,29,64
1756,475000,29,66
1756,1000000,32,71
1756,1000000,18,67
1755,300000,33,67
1755,2000000,22,70
1755,400000,29,65
1755,2000000,28,72
1755,725000,20,65
1755,450000,29,64
1755,6000000,21,73
1755,4000000,29,74
1755,725000,34,71
1755,875000,27,69
1755,525000,29,65
1755,1000000,19,67
1755,4000000,25,72
1755,375000,34,67
1755,1000000,29,71
1755,1000000,19,67
1755,650000,33,69
1755,5000000,22,73
1755,1000000,25,68
1755,1000000,32,70
1755,2000000,23,70
1755,6000000,27,74
1755,700000,24,65
1755,825000,20,65
1755,375000,27,63
1755,350000,28,64
1754,825000,25,67
1754,230000,33,63
1754,1000000,27,70
1754,1000000,23,68
1754,575000,27,65
1754,750000,18,63
1754,8000000,28,77
1754,3000000,20,70
1754,625000,27,67
1754,5000000,29,75
1754,3000000,28,73
1754,350000,29,63
1754,825000,25,67
1754,1000000,21,68
1754,1000000,21,68
1754,1000000,27,70
1754,2000000,30,72
1754,800000,20,63
1754,2000000,25,71
1754,6000000,26,74
1754,4000000,22,72
1754,1000000,20,67
1753,825000,24,66
1753,475000,30,66
1753,500000,23,64
1753,2000000,27,71
1753,700000,28,68
